iteration;temperature;cost;result
78;5477.380000000003;7047.847321421811;["Lille" "Ajaccio" "Toulouse" "Paris" "Lyon" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Caen" "Limoges" "Marseille" "Lille"]
79;5477.090000000003;7028.487229981256;["Lille" "Ajaccio" "Toulouse" "Paris" "Caen" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Lyon" "Limoges" "Marseille" "Lille"]
80;5476.800000000003;6650.9794997883555;["Lille" "Ajaccio" "Toulouse" "Paris" "Caen" "Besançon" "Rennes" "Bordeaux" "Strasbourg" "Lyon" "Limoges" "Marseille" "Lille"]
81;5476.510000000003;6485.9279770222665;["Lille" "Ajaccio" "Toulouse" "Paris" "Caen" "Rennes" "Besançon" "Bordeaux" "Strasbourg" "Lyon" "Limoges" "Marseille" "Lille"]
82;5476.220000000003;6525.132021260705;["Lille" "Ajaccio" "Toulouse" "Paris" "Caen" "Rennes" "Besançon" "Bordeaux" "Strasbourg" "Limoges" "Lyon" "Marseille" "Lille"]
83;5475.930000000003;6255.085152697313;["Lille" "Lyon" "Toulouse" "Paris" "Caen" "Rennes" "Besançon" "Bordeaux" "Strasbourg" "Limoges" "Ajaccio" "Marseille" "Lille"]
84;5475.640000000003;5680.700609008804;["Lille" "Lyon" "Toulouse" "Paris" "Caen" "Rennes" "Besançon" "Bordeaux" "Limoges" "Strasbourg" "Ajaccio" "Marseille" "Lille"]
85;5475.350000000003;6148.328392686056;["Lille" "Lyon" "Paris" "Toulouse" "Caen" "Rennes" "Besançon" "Bordeaux" "Limoges" "Strasbourg" "Ajaccio" "Marseille" "Lille"]
86;5475.060000000003;6247.167401800014;["Lille" "Lyon" "Paris" "Toulouse" "Caen" "Rennes" "Besançon" "Bordeaux" "Limoges" "Strasbourg" "Marseille" "Ajaccio" "Lille"]
87;5474.770000000003;6247.167401800014;["Lille" "Lyon" "Paris" "Toulouse" "Caen" "Rennes" "Besançon" "Bordeaux" "Limoges" "Strasbourg" "Marseille" "Ajaccio" "Lille"]
88;5474.480000000003;6533.202123330875;["Lille" "Lyon" "Paris" "Toulouse" "Caen" "Rennes" "Besançon" "Bordeaux" "Limoges" "Marseille" "Strasbourg" "Ajaccio" "Lille"]
89;5474.190000000003;5964.048514984317;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Rennes" "Besançon" "Bordeaux" "Toulouse" "Marseille" "Strasbourg" "Ajaccio" "Lille"]
90;5473.900000000003;5003.96455453557;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Rennes" "Besançon" "Bordeaux" "Toulouse" "Marseille" "Ajaccio" "Strasbourg" "Lille"]
91;5473.610000000003;5099.592915875351;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Rennes" "Toulouse" "Bordeaux" "Besançon" "Marseille" "Ajaccio" "Strasbourg" "Lille"]
92;5473.320000000003;4880.203777577414;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Rennes" "Bordeaux" "Toulouse" "Besançon" "Marseille" "Ajaccio" "Strasbourg" "Lille"]
93;5473.030000000003;5576.155440785388;["Lille" "Lyon" "Paris" "Limoges" "Caen" "Rennes" "Bordeaux" "Ajaccio" "Besançon" "Marseille" "Toulouse" "Strasbourg" "Lille"]
94;5472.740000000003;5616.009342002527;["Lille" "Lyon" "Paris" "Caen" "Limoges" "Rennes" "Bordeaux" "Ajaccio" "Besançon" "Marseille" "Toulouse" "Strasbourg" "Lille"]
95;5472.4500000000035;6299.443144002096;["Lille" "Lyon" "Paris" "Caen" "Limoges" "Rennes" "Bordeaux" "Ajaccio" "Besançon" "Marseille" "Strasbourg" "Toulouse" "Lille"]
